               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.034273,            0.028335,           0.0013122,             0.90381,             0.81986,             0.88013,             0.41254,            0.041464,            0.020115,           0.0033564,           0.0013701,           0.0013701,           0.0013701
                  89,            0.034354,            0.029655,           0.0013087,             0.90579,             0.80713,             0.87079,             0.39136,            0.042877,            0.020103,           0.0030799,            0.001316,            0.001316,            0.001316
                  90,            0.034463,            0.028372,            0.001339,              0.9114,             0.80329,             0.86855,             0.39929,            0.043233,            0.020305,           0.0031593,            0.001266,            0.001266,            0.001266
                  91,            0.034111,            0.029398,           0.0013124,             0.88984,             0.82726,             0.88085,             0.41365,            0.041284,            0.020164,           0.0034039,           0.0012202,           0.0012202,           0.0012202
                  92,            0.034416,            0.028598,           0.0014029,             0.89269,             0.82964,             0.87383,             0.41948,            0.041721,            0.019858,           0.0033413,           0.0011787,           0.0011787,           0.0011787
                  93,            0.034053,            0.027975,            0.001294,             0.92022,             0.80263,             0.87629,             0.41195,            0.041897,            0.020213,           0.0032922,           0.0011414,           0.0011414,           0.0011414
                  94,            0.034052,            0.028297,           0.0013017,             0.89093,             0.83495,             0.87702,             0.40246,            0.041938,            0.020175,           0.0031685,           0.0011084,           0.0011084,           0.0011084
                  95,            0.034214,            0.028638,           0.0014598,             0.90673,             0.83281,             0.88745,             0.44923,            0.039694,            0.019747,           0.0031337,           0.0010797,           0.0010797,           0.0010797
                  96,            0.034233,            0.028502,           0.0013683,             0.91254,             0.81965,             0.87442,             0.41404,            0.041728,            0.020328,            0.003374,           0.0010554,           0.0010554,           0.0010554
                  97,            0.033621,            0.028224,           0.0012923,              0.9129,             0.82032,             0.88305,             0.43613,            0.040292,             0.02009,           0.0034019,           0.0010355,           0.0010355,           0.0010355
                  98,            0.034399,            0.028527,           0.0013468,             0.89999,             0.82158,             0.87929,             0.43163,            0.040871,            0.020281,           0.0032713,             0.00102,             0.00102,             0.00102
                  99,            0.034284,            0.028738,           0.0013286,              0.9141,             0.80918,             0.87806,             0.43719,            0.040658,            0.020152,           0.0034802,           0.0010089,           0.0010089,           0.0010089
